id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3191,Malleson Garden Cottage,3754,Brigitte,,Ward 57,-33.94739,18.476,Entire home/apt,436,3,63,2022-03-23,0.59,1,331,9,
15007,Blaauwberg House,59072,Dirk,,Ward 23,-33.80001,18.46063,Entire home/apt,2769,2,36,2022-02-25,0.36,5,273,7,
15068,Grande Bay,59318,Linda,,Ward 23,-33.78799,18.46082,Entire home/apt,2800,4,0,,,10,365,0,
15077,Top relaxed beach living in style,59342,Georg,,Ward 4,-33.85812,18.49043,Private room,1853,5,5,2016-12-10,0.04,6,227,0,
15199,Self catering apartment,59694,Alexa,,Ward 115,-33.91044,18.41239,Entire home/apt,2500,14,2,2016-04-15,0.02,1,365,0,
15285,Waterford-Guinea Fowl Self Catering,59964,Chris+Alison,,Ward 71,-34.03863,18.43128,Entire home/apt,1600,2,11,2022-01-17,0.09,3,34,2,
15331,Mountview Accommodation,60058,Francis,,Ward 60,-33.97069,18.49697,Entire home/apt,596,2,3,2014-01-13,0.02,1,180,0,
15354,"Aurora Self Catering Units, Durbanville, Cape Town",60196,Ian,,Ward 112,-33.82924,18.63144,Entire home/apt,650,3,0,,,1,364,0,
15480,In hip designer district of Cape T.,60443,Jean,,Ward 115,-33.92876,18.42247,Entire home/apt,550,29,21,2022-02-28,0.15,1,273,2,
15704,Hollywood Mansion & Spa Camps Bay with Butler,61441,Kevin,,Ward 54,-33.96462,18.37595,Entire home/apt,22232,4,1,2017-11-14,0.02,7,247,0,
16259,Chambery - luxury self catering,63255,Cheryl,,Ward 59,-33.99463,18.46505,Entire home/apt,907,2,14,2022-03-14,0.15,3,286,5,
18499,Rooms in Halaal Villa Cape Town De Tijger,71221,Abe,,Ward 2,-33.88856,18.59054,Private room,858,7,0,,,1,364,0,
19271,Largo House self catering suite,73439,Beverley,,Ward 59,-33.97905,18.45676,Entire home/apt,551,2,73,2022-03-26,0.59,3,321,15,
19384,2 bed home with a view under Table Mountain.,73764,Ingrid,,Ward 77,-33.92667,18.40623,Entire home/apt,1200,1,6,2020-01-29,0.10,1,174,0,
19561,Apartment in Durbanville,74188,Cherry,,Ward 103,-33.84192,18.67661,Private room,2908,2,0,,,1,364,0,
19658,Private Room,74504,Ricardo,,Ward 5,-33.87058,18.53464,Private room,1454,7,0,,,1,365,0,
20125,Double Bedr0om to Rent,76161,Debbie,,Ward 73,-34.02811,18.48246,Private room,1284,1,0,,,1,365,0,
20263,Villa Honeywood Five Star Self Catering Villa,837661,Daniel,,Ward 64,-34.13572,18.42007,Entire home/apt,6000,3,0,,,2,312,0,
20403,Light and Bright Somerset,76971,Bronwyn,,Ward 84,-34.10303,18.87076,Entire home/apt,7998,7,0,,,1,365,0,
20670,ROOM TO LET,78185,Gill,,Ward 64,-34.09117,18.48396,Private room,1091,3,0,,,1,0,0,
22994,Heritage Home in Cape Town suburbs,89107,Sandra,,Ward 58,-33.95733,18.4881,Entire home/apt,1163,7,15,2022-01-10,0.10,1,94,1,
24670,The Original Majestic Apartment - Kalk Bay,100431,Grant,,Ward 64,-34.12549,18.44792,Entire home/apt,2000,4,16,2019-11-19,0.22,2,331,0,
28702,Waterford-Paddaplek Self Catering,59964,Chris+Alison,,Ward 71,-34.03765,18.43083,Hotel room,1000,2,0,,,3,26,0,
28707,Waterford-Sunbird  B&B Suite,59964,Chris+Alison,,Ward 71,-34.03644,18.431,Entire home/apt,1200,2,5,2022-02-20,0.04,3,289,1,
36347,"Cosy, Downtown Loft with Mountain Views over Rooftop Deck",156196,Alan,,Ward 115,-33.92456,18.42238,Entire home/apt,1003,28,267,2021-06-30,2.77,3,0,1,
36483,"Stylish Studio With Kitchenette,Pool,Parking &Wifi",156910,Dave,,Ward 107,-33.8212,18.48323,Private room,650,3,37,2020-02-17,0.29,6,365,0,
36485,Stunning Studio Close To The Beach Cape Town,156910,Dave,,Ward 107,-33.81849,18.48452,Private room,650,3,27,2019-11-01,0.20,6,365,0,
36499,Lovely Garden Cottage Close To The Beach Cape Town,156910,Dave,,Ward 107,-33.81933,18.48403,Entire home/apt,650,3,32,2022-02-12,0.25,6,345,1,
44334,Purple House on Jarvis B&B,194391,Guido & Henk,,Ward 115,-33.91405,18.41575,Private room,1400,2,23,2016-07-18,0.18,2,0,0,
54730,Huge Bright Sunny 3 Bedroom 2 Bathroom in Fresnaye,253705,Michael,,Ward 54,-33.9216,18.38895,Entire home/apt,861,365,0,,,1,365,0,
82212,Perfect Beachfront Apartment,404176,Gayle,,Ward 54,-33.91788,18.38626,Entire home/apt,1379,3,29,2020-12-23,0.23,6,233,0,
